retailer_id,revenue,trade_rate,structural_trade_dollars
Walmart,13001137.79,0.21492555555555554,2794276.7623700774
UNFI,4485742.51,0.1506988888888889,675996.4120986556
Whole Foods,2713109.97,0.12785777777777776,346892.21163093334
Costco,2239549.07,0.17385777777777778,389363.02453448885
DTC,851241.16,0.0,0.0
Green Basket Market,507427.01,0.09926,50367.2050126
Southside Grocers,488833.07,0.09926,48521.5705282
Prairie Provisions,445557.53,0.09926,44226.040427800006
Mountain Pantry Co,436938.58,0.09926,43370.5234508
Harbor Fresh,423515.23,0.09926,42038.1217298
